title,link,published,summary,media_keywords,author,publisher,href
37 Cod Recipes to Make Again and Again,https://www.bonappetit.com/recipes/slideshow/cod-fish-recipes,"Mon, 11 Apr 2022 14:00:00 +0000","Meaty, flaky, firm, and affordable—in cod we trust.","Cod, Fish, Dinner","Elyssa Goldberg, Kate Kassin",Condé Nast,
"The Best Bar Carts for Studio Apartments, Big Backyards, and West Egg Mansions",https://www.bonappetit.com/story/best-bar-carts,"Fri, 08 Apr 2022 19:30:00 +0000","When your bottle collection outgrows the top of your fridge, it’s time to invest.",Shopping,Megan Wahn,Condé Nast,
"What Is Jackfruit, the Meat Substitute Showing Up on Menus Everywhere?",https://www.bonappetit.com/story/what-is-jackfruit,"Fri, 08 Apr 2022 18:28:50 +0000","How to buy, prep, and cook the largest fruit that grows on trees.",,Leyla Rose,Condé Nast,
Chocolate-Filled Toasted Coconut Macaroons,https://www.bonappetit.com/recipe/chocolate-filled-toasted-coconut-macaroons,"Fri, 08 Apr 2022 17:42:38 +0000",Extra-toasty coconut and a chocolate surprise set these cookies apart from your average macaroon.,"Dessert, Snack, Cookie, Nut-Free, Gluten-Free, Coconut, Chocolate",Kendra Vaculin,Condé Nast,
How to Ripen Avocados When They’re Too Hard,https://www.bonappetit.com/story/how-to-ripen-avocados-when-theyre-too-hard,"Fri, 08 Apr 2022 15:00:00 +0000","You’ve been there: It’s the morning before you need to use an avocado, which is as solid as a rock. Don’t panic. There’s still hope.","Basically, Avocado",Antara Sinha,Condé Nast,
The Best Way to Dispose of Your Cooking Oil? Solidify It,https://www.bonappetit.com/story/fryaway-oil-solidifier,"Thu, 07 Apr 2022 22:00:00 +0000",Make deep-frying at home a smidge less annoying.,"Shopping, Highly Recommend, Culture",Sarah Jampel,Condé Nast,
The Great Restaurant Name Vibe Shift,https://www.bonappetit.com/story/restaurant-name-trends,"Thu, 07 Apr 2022 19:31:00 +0000",There’s a reason so many restaurants have *almost* the same name.,Restaurants,Maggie Hennessy,Condé Nast,
89 Vegan Dinner Recipes That We Just Love,https://www.bonappetit.com/gallery/vegan-dinner-recipes-that-we-just-love,"Thu, 07 Apr 2022 19:00:00 +0000",Because no one should subsist on side dishes.,"Healthyish, Vegan, Dinner",The Bon Appétit Staff,Condé Nast,
Crunchy Coconut-Sesame Shrimp With Spicy Lime Mayo,https://www.bonappetit.com/recipe/crunchy-coconut-sesame-shrimp-with-spicy-lime-mayo,"Thu, 07 Apr 2022 15:00:00 +0000",Treat your shrimp to a roll in shredded coconut and sesame seeds for a gloriously crispy coating.,"Dinner, Starter, Nut-Free, Weeknight Meals, Fry, Shrimp, Coconut, Lime, Entertaining",Asha Loupy,Condé Nast,
I Don’t Like Fruit Salad But I LOVE Fruit Chaat,https://www.bonappetit.com/story/i-love-fruit-chaat,"Thu, 07 Apr 2022 14:00:00 +0000","The simple dressing makes any combination of fruit taste, well, fruitier.","It's That Simple, cooking, Ramadan",Mehreen Karim,Condé Nast,
