'Age','Frequency of ordering before Covid,Frequency of ordering after Covid,On a scale of 0-5', 'how important are covid protocols for you','Average order value','Average delivery time','Average delivery fee On a scale of 0-5', 'would you pay for subscription'
18 - 30,3,3,5,300 - 600,30 - 45 minutes,25 - 50,0,
18 - 30,2,3,5,600 - 900,30 - 45 minutes,25 - 50,3,
18 - 30,6,5,4,300 - 600,15 - 30 minutes,25 - 50,1,
18 - 30,9,5,5,300 - 600,15 - 30 minutes,50 - 75,4,
18 - 30,10,5,3,300 - 600,45 - 60 minutes,25 - 50,3,
18 - 30,4,5,2,600 - 900,15 - 30 minutes,25 - 50,0,
18 - 30,7,2,5,Below 300,30 - 45 minutes,25 - 50,5,
18 - 30,2,3,2,600 - 900,30 - 45 minutes,25 - 50,2,
Below 18,3,5,3,600 - 900,45 - 60 minutes,25 - 50,5,
18 - 30,7,5,5,600 - 900,15 - 30 minutes,Below 25,2,
18 - 30,6,7,3,600 - 900,30 - 45 minutes,50 - 75,1,
18 - 30,9,6,3,300 - 600,30 - 45 minutes,Below 25,1,
18 - 30,10,6,4,300 - 600,30 - 45 minutes,Below 25,0,
18 - 30,10,6,4,Below 300,15 - 30 minutes,25 - 50,3,
18 - 30,3,4,4,600 - 900,45 - 60 minutes,25 - 50,3,
18 - 30,8,4,5,Below 300,30 - 45 minutes,25 - 50,0,
18 - 30,2,6,5,600 - 900,30 - 45 minutes,25 - 50,3,
18 - 30,4,6,2,300 - 600,15 - 30 minutes,25 - 50,3,
18 - 30,4,2,3,300 - 600,30 - 45 minutes,50 - 75,0,
18 - 30,4,1,2,Below 300,30 - 45 minutes,Below 25,1,
18 - 30,6,7,5,600 - 900,45 - 60 minutes,25 - 50,2,
18 - 30,6,7,5,600 - 900,30 - 45 minutes,25 - 50,1,
18 - 30,7,3,5,600 - 900,30 - 45 minutes,25 - 50,1,
40 - 50,3,1,2,Below 300,30 - 45 minutes,25 - 50,2,
18 - 30,3,6,4,300 - 600,30 - 45 minutes,Below 25,0,
18 - 30,8,3,2,300 - 600,30 - 45 minutes,25 - 50,5,
18 - 30,5,7,5,Below 300,15 - 30 minutes,25 - 50,5,
18 - 30,9,2,5,Below 300,30 - 45 minutes,25 - 50,4,
18 - 30,5,3,5,300 - 600,15 - 30 minutes,25 - 50,4,
18 - 30,10,3,4,600 - 900,30 - 45 minutes,25 - 50,2,
18 - 30,7,3,5,Below 300,30 - 45 minutes,25 - 50,0,
18 - 30,4,7,4,Below 300,30 - 45 minutes,25 - 50,5,
18 - 30,2,4,3,Below 300,30 - 45 minutes,75 - 100,0,
18 - 30,2,3,2,300 - 600,15 - 30 minutes,Below 25,4,
18 - 30,8,2,2,300 - 600,30 - 45 minutes,Below 25,3,
18 - 30,4,3,5,Below 300,30 - 45 minutes,Below 25,5,
18 - 30,8,1,5,900 - 1200,30 - 45 minutes,25 - 50,0,
Below 18,3,6,3,1200 - 1500,30 - 45 minutes,Below 25,0,
Below 18,5,6,2,300 - 600,30 - 45 minutes,25 - 50,5,
18 - 30,7,2,2,600 - 900,45 - 60 minutes,50 - 75,5,
18 - 30,3,7,2,1200 - 1500,30 - 45 minutes,50 - 75,0,
Below 18,4,5,5,1200 - 1500,30 - 45 minutes,25 - 50,5,
Below 18,6,4,5,300 - 600,30 - 45 minutes,25 - 50,1,
18 - 30,3,2,5,300 - 600,30 - 45 minutes,25 - 50,5,
18 - 30,10,2,5,300 - 600,30 - 45 minutes,Below 25,1,
30 - 40,9,2,4,900 - 1200,45 - 60 minutes,50 - 75,4,
18 - 30,10,6,2,600 - 900,45 - 60 minutes,50 - 75,1,
18 - 30,4,5,3,300 - 600,30 - 45 minutes,Below 25,3,
30 - 40,9,5,3,600 - 900,45 - 60 minutes,25 - 50,1,
Below 18,9,4,4,300 - 600,15 - 30 minutes,Below 25,3,
Below 18,10,2,3,Below 300,30 - 45 minutes,25 - 50,3,
18 - 30,3,1,4,300 - 600,30 - 45 minutes,25 - 50,2,
Below 18,2,5,2,1200 - 1500,30 - 45 minutes,50 - 75,3,
18 - 30,6,6,5,300 - 600,30 - 45 minutes,Below 25,2,
18 - 30,5,3,3,300 - 600,60 - 75 minutes,75 - 100,1,
18 - 30,5,6,2,600 - 900,30 - 45 minutes,75 - 100,4,
18 - 30,3,3,4,Below 300,30 - 45 minutes,25 - 50,1,
18 - 30,9,5,5,Below 300,15 - 30 minutes,Below 25,4,
18 - 30,2,2,4,300 - 600,45 - 60 minutes,25 - 50,2,
18 - 30,3,6,4,300 - 600,30 - 45 minutes,Below 25,2,
18 - 30,5,1,4,300 - 600,30 - 45 minutes,25 - 50,5,
18 - 30,5,2,5,300 - 600,30 - 45 minutes,25 - 50,5,
18 - 30,7,1,3,300 - 600,15 - 30 minutes,Below 25,4,
18 - 30,4,2,4,1200 - 1500,45 - 60 minutes,50 - 75,1,
18 - 30,5,1,4,300 - 600,45 - 60 minutes,75 - 100,1,
18 - 30,5,3,2,900 - 1200,30 - 45 minutes,25 - 50,3,
18 - 30,2,7,2,900 - 1200,30 - 45 minutes,25 - 50,2,
18 - 30,4,3,2,Below 300,30 - 45 minutes,25 - 50,4,
18 - 30,3,5,4,300 - 600,30 - 45 minutes,25 - 50,1,
18 - 30,7,1,2,Below 300,30 - 45 minutes,Below 25,4,
18 - 30,10,7,4,900 - 1200,15 - 30 minutes,50 - 75,0,
Below 18,8,1,3,300 - 600,30 - 45 minutes,Below 25,4,
18 - 30,8,5,5,300 - 600,30 - 45 minutes,25 - 50,2,
18 - 30,5,3,3,1200 - 1500,45 - 60 minutes,25 - 50,0,
40 - 50,9,4,4,600 - 900,30 - 45 minutes,Below 25,0,
